cd_cnpj;nu_ordem;cd_ramo_atividade;de_ramo_atividade
12305448000100;0~@~1~@~2~@~3~@~4;1093701~@~4789099~@~7319003~@~8230001~@~9609202;AGENCIAS MATRIMONIAIS~@~COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE~@~FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES~@~MARKETING DIRETO~@~SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS
14180365000150;0~@~1~@~2;4530706~@~4542101~@~4613300;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MADEIRA, MATERIAL DE CONSTRUCAO E FERRAGENS~@~REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MOTOCICLETAS E MOTONETAS, PECAS E ACESSORIOS~@~REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PECAS E ACESSORIOS NOVOS E USADOS PARA VEICULOS AUTOMOTORES
05610297000120;0;4782201;COMERCIO VAREJISTA DE CALCADOS
15044857000180;0;9602502;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA
15028623000140;0~@~1;4789099~@~9329899;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE~@~OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE
07297742000170;0~@~1~@~2~@~3~@~4;4520001~@~4520002~@~4520003~@~4520004~@~4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES~@~SERVICOS DE ALINHAMENTO E BALANCEAMENTO DE VEICULOS AUTOMOTORES~@~SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES~@~SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES~@~SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES
15291845000150;0~@~1;4781400~@~4789001;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS~@~COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS
15090404000190;0~@~1;1412601~@~1412603;CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA~@~FACCAO DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS
90400888251650;0;6422100;BANCOS MULTIPLOS, COM CARTEIRA COMERCIAL
12254288000100;0~@~1;4530703~@~4530704;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES~@~COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES
04226709000160;0;4633801;COMERCIO ATACADISTA DE FRUTAS, VERDURAS, RAIZES, TUBERCULOS, HORTALICAS E LEGUMES FRESCOS
16679748000100;0~@~1~@~2~@~3;9430800~@~9491000~@~9493600~@~9499500;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE~@~ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS~@~ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE~@~ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS
07793444000170;0~@~1;4222701~@~4321500;CONSTRUCAO DE REDES DE ABASTECIMENTO DE AGUA, COLETA DE ESGOTO E CONSTRUCOES CORRELATAS, EXCETO OBRAS DE IRRIGACAO~@~INSTALACAO E MANUTENCAO ELETRICA
03220549000180;0~@~1;4712100~@~4723700;COMERCIO VAREJISTA DE BEBIDAS~@~COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS
01687525000100;0~@~1~@~2;9430800~@~9493600~@~9499500;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE~@~ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS~@~ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE
11772974000100;0~@~1~@~2;4781400~@~4782201~@~4789001;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS~@~COMERCIO VAREJISTA DE CALCADOS~@~COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS
05850538000290;0;8219901;FOTOCOPIAS
86396371000150;0;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
52792652000100;0;4530701;COMERCIO POR ATACADO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
15818386000110;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS
01498181000190;0;4530705;COMERCIO A VAREJO DE PNEUMATICOS E CAMARASDEAR
80495856000700;0;7420003;LABORATORIOS FOTOGRAFICOS
02186486000120;0;4744001;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS
65070146000230;0;4774100;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA
02053352000130;0;4774100;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA
06319255001170;0~@~1~@~2~@~3;0210107~@~0210108~@~0220901~@~0220902;EXTRACAO DE MADEIRA EM FLORESTAS NATIVAS~@~EXTRACAO DE MADEIRA EM FLORESTAS PLANTADAS~@~PRODUCAO DE CARVAO VEGETAL  FLORESTAS NATIVAS~@~PRODUCAO DE CARVAO VEGETAL  FLORESTAS PLANTADAS
10886199000150;0;6911701;SERVICOS ADVOCATICIOS
12019359000190;0~@~1;7820500~@~8111700;LOCACAO DE MAODEOBRA TEMPORARIA~@~SERVICOS COMBINADOS PARA APOIO A EDIFICIOS, EXCETO CONDOMINIOS PREDIAIS
06216178000150;0~@~1;4330499~@~4399103;OBRAS DE ALVENARIA~@~OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO
12459122000120;0~@~1~@~2~@~3~@~4;4321500~@~4751200~@~4751202~@~6190699~@~9511800;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA~@~INSTALACAO E MANUTENCAO ELETRICA~@~OUTRAS ATIVIDADES DE TELECOMUNICACOES NAO ESPECIFICADAS ANTERIORMENTE~@~RECARGA DE CARTUCHOS PARA EQUIPAMENTOS DE INFORMATICA~@~REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS
10532571000120;0;0139306;CULTIVO DE SERINGUEIRA
11163415000100;0~@~1~@~2~@~3;8630501~@~8630502~@~8630503~@~8711501;ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES~@~ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE PROCEDIMENTOS CIRURGICOS~@~ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS~@~CLINICAS E RESIDENCIAS GERIATRICAS
20963351002230;0;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS
