Ramo de Atividade;Divisões;(DIVISÃO - 2digitos CNAE);F4;F5;F6;F7
Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;46;;;;
Indústria Automotiva;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS;29;;;;
;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;30;;;;
Bens de Capital;ATIVIDADES DE SERVIÇOS FINANCEIROS;64;;;;
;SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE;65;;;;
;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE;66;;;;
Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;10;;;;
;FABRICAÇÃO DE BEBIDAS;11;;;;
;FABRICAÇÃO DE PRODUTOS DO FUMO;12;;;;
;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;14;;;;
;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;15;;;;
;FABRICAÇÃO DE PRODUTOS DE MADEIRA;16;;;;
;FABRICAÇÃO DE MÓVEIS;31;;;;
Diversos;FABRICAÇÃO DE PRODUTOS DIVERSOS;32;;;;
Eletroeletrônicos;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;26;;;;
;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS;27;;;;
Energia;ELETRICIDADE, GÁS E OUTRAS UTILIDADES;35;;;;
Farmacêutica;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;21;;;;
Indústria da Construção;CONSTRUÇÃO DE EDIFÍCIOS;41;;;;
;OBRAS DE INFRA-ESTRUTURA;42;;;;
;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;43;;;;
Indústria Digital;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;62;;;;
;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO;63;;;;
Mineração;EXTRAÇÃO DE CARVÃO MINERAL;05;;;;
;EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL;06;;;;
;EXTRAÇÃO DE MINERAIS METÁLICOS;07;;;;
;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS;08;;;;
;ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS;09;;;;
Papel e Celulose;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL;17;;;;
;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES;18;;;;
Produtos de Agropecuária;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;01;;;;
;PRODUÇÃO FLORESTAL;02;;;;
;PESCA E AQÜICULTURA;03;;;;
Química-Petroquímica;FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS;19;;;;
;FABRICAÇÃO DE PRODUTOS QUÍMICOS;20;;;;
;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO;22;;;;
;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;23;;;;
Siderúrgica-Metalurgia;METALURGIA;24;;;;
;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS;25;;;;
;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;28;;;;
Telecom;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;58;;;;
;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA";59;;;;
;ATIVIDADES DE RÁDIO E DE TELEVISÃO;60;;;;
;TELECOMUNICAÇÕES;61;;;;
Têxteis;FABRICAÇÃO DE PRODUTOS TÊXTEIS;13;;;;
Transporte;TRANSPORTE TERRESTRE;49;;;;
;TRANSPORTE AQUAVIÁRIO;50;;;;
;TRANSPORTE AÉREO;51;;;;
