cd_cnpj;fl_matriz;dt_abertura;nm_razao_social;cd_natureza_juridica;de_natureza_juridica;nm_logradouro;nu_logradouro;cd_cep;nm_bairro;nm_municipio;sg_uf;de_situacao;de_classif_natureza_juridica
12305448000100;1;7/30/2010;GIOVANNA SOUZA DE LIMA DATE MEI;2135;EMPRESARIO INDIVIDUAL;ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR;59;04880230;RECANTO CAMPO BELO;SAO PAULO;SP;ATIVA;PRIVADO
14180365000150;1;8/24/2011;NETO JUNIOR REPRESENTACOES COMERCIAIS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DO CRUZEIRO;495;45604620;JOAO SOARES;ITABUNA;BA;ATIVA;PRIVADO
01144533000100;1;4/4/1996;T P V CONSTRUCOES ELETRICAS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA VITOR DE QUEIROZ MATOS;105;03263010;PARQUE SAO LUCAS;SAO PAULO;SP;BAIXADA;PRIVADO
01911869000150;1;5/6/1997;LUIZA DE FATIMA CAMPOS DE SOUZA;2135;EMPRESARIO INDIVIDUAL;RUA ANTONIO GALDINO MARCA;167;36660000;VILA CAXIAS;ALEM PARAIBA;MG;BAIXADA;PRIVADO
00243955000170;1;10/14/1994;E C PINTO PRADO & CIA LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA PORTAO DA PIEDADE;155;40070045;BARRIS;SALVADOR;BA;BAIXADA;PRIVADO
00890690000100;1;10/27/1995;LUCIANO OLIVEIRA DA SILVA ME;2135;EMPRESARIO INDIVIDUAL;AVENIDA CANDIDO PORTINARI;970;05114001;VILA JAGUARA;SAO PAULO;SP;BAIXADA;PRIVADO
00887641000100;1;9/15/1995;VZW LANCHES LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA 24 DE MAIO;574;83323060;VILA TARUMA;PINHAIS;PR;BAIXADA;PRIVADO
00092783000180;1;6/25/1982;SAUNA NACOES UNIDAS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DESEMBARGADOR JAIME;141;75020040;SETOR CENTRAL;ANAPOLIS;GO;BAIXADA;PRIVADO
09320876000190;1;1/11/2008;CARLOS ALEXANDRE DE MORAIS ESTACIONAMENTO ME;2135;EMPRESARIO INDIVIDUAL;RUA VAIL JUSTINIANO TOLEDO;113;19700000;JARDIM MURILO MACEDO;PARAGUACU PAULISTA;SP;BAIXADA;PRIVADO
01846005000100;1;4/15/1986;ANTONIO JOSE DA SILVA RUBIM;2135;EMPRESARIO INDIVIDUAL;RUA PARAENSE;SN;77930000;CENTRO;AXIXA DO TOCANTINS;TO;BAIXADA;PRIVADO
