cd_cnpj;vl_latitude;vl_longitude;vl_total_veiculos_antt;vl_total_veiculos_leves;vl_total_veiculos_pesados;fl_optante_simples;qt_filial;fl_optante_simei;de_saude_tributaria;de_nivel_atividade
12305448000100;-23,5505199;-46,6333094;;;;1;;1;VERDE;MEDIA
14180365000150;-14,7809311;-39,2636;;;;0;;0;AMARELO;MEDIA
01144533000100;-23,5907593;-46,5486725;;;;0;;0;;INATIVA
01911869000150;-21,8833835;-42,6985095;;;;0;;0;;INATIVA
00243955000170;-12,9830488;-38,5136913;;;;0;;0;;INATIVA
00890690000100;-23,5072955;-46,7555407;;;;0;;0;;INATIVA
00887641000100;-25,4387247;-49,1949172;;;;0;;0;;INATIVA
00092783000180;-16,3273047;-48,9533426;;;;0;;0;;INATIVA
09320876000190;-22,432076;-50,5803154;;;;0;;0;;INATIVA
01846005000100;-5,6149591;-47,7708204;;;;0;;0;;INATIVA
05610297000120;-16,2806113;-48,9319839;;;;0;;0;;INATIVA
15044857000180;-23,0864185;-46,9770708;;;;1;;1;AMARELO;MEDIA
15028623000140;-22,8492135;-43,2540858;;;;1;;1;AMARELO;MEDIA
07297742000170;-27,0337085;-49,3872519;;1;0;1;;0;AZUL;BAIXA
15291845000150;-20,3433882;-40,3875092;;;;1;;0;AZUL;ALTA
15090404000190;-26,6109126;-49,0091505;;;;1;;0;VERDE;ALTA
90400888251650;-22,8525901;-47,1565107;;;;0;;0;VERDE;MEDIA
12254288000100;-19,9120148;-43,9711978;;;;0;;0;LARANJA;MEDIA
04226709000160;-23,5505199;-46,6333094;;;;0;;0;AZUL;MEDIA
16679748000100;-19,8909944;-43,9523488;;;;0;10;0;VERDE;ALTA
07793444000170;-29,6963563;-53,844565;;;;0;;0;AMARELO;MEDIA
03220549000180;-7,1882638;-39,7376748;;;;1;;0;VERDE;ALTA
01687525000100;-26,1117326;-49,8065079;;;;0;;0;AZUL;MEDIA
11772974000100;-8,1138885;-35,2915134;;;;1;;0;AZUL;ALTA
05850538000290;-23,6001428;-46,6763564;;;;0;;0;VERMELHO;BAIXA
86396371000150;-18,908382;-48,270572;;;;1;1;0;VERDE;ALTA
52792652000100;-23,541913;-46,7788579;;;;0;;0;AMARELO;MEDIA
15818386000110;-21,1900316;-49,580999;;;;0;;0;;INATIVA
01498181000190;-28,1322847;-55,0223579;;2;0;1;;0;VERDE;ALTA
80495856000700;-26,2993337;-48,844535;;;;0;;0;VERMELHO;BAIXA
02186486000120;-29,8744377;-50,9984135;;;;1;;0;LARANJA;BAIXA
